Area,ID,Title,Basic Criteria,Additional Criteria,"Supplementary Information -
About the Criteria","Supplementary Information -
Complementary Customer Criteria","Supplementary Information -
Notes on Continuous Auditing - Feasibility","Supplementary Information -
Notes on Continuous Auditing"
Security Incident Management (SIM),SIM-02,Processing of security incidents,"Subject matter experts of the Cloud Service Provider, together with external security providers where appropriate, classify, prioritise and perform root-cause analyses for events that could constitute a security incident.","The Cloud Service Provider simulates the identification, analysis and defence of security incidents and attacks at least once a year through appropriate tests and exercises (e.g. Red Team training).",,,yes,"The Cloud Service Provider documents all security incidents in digital form, which contains information about the classification, prioritisation and root cause analysis of the incidents. The root cause analysis should be standardised to facilitate continuous auditing.

An automatic and continuous evaluation of these security incidents can then be carried out by the auditor by excluding the logs or tickets produced and testing whether the security incident has been classified and prioritised and whether these steps have been carried out based on a standardised root cause analysis. The continuous audit thus provides a constant statement as to whether security incidents have been correctly recorded, classified and subjected to a root cause analysis."
Security Incident Management (SIM),SIM-03,Documentation and reporting of security incidents,"After a security incident has been processed, the solution is documented in accordance with the contractual agreements and the report is sent to the affected customers for final acknowledgement or, if applicable, as confirmation.","The customer can either actively approve solutions or the solution is automatically approved after a certain period.

Information on security incidents or confirmed security breaches is made available to all affected customers.

The contract between the Cloud Service Provider and the cloud customer regulates which data is made available to the cloud customer for his own analysis in the event of security incidents.",,Cloud customers ensure through suitable controls that they receive notifications from the Cloud Service Provider about security incident that affect them and their resolution and that these notifications are forwarded promptly to the entity responsible for handling them so that an appropriate response can be made.,yes,"In the logs or tickets that document the security incidents (Cf. SIM-03), the Cloud Service Provider also describes the solution pursued to eliminate the incident. In addition, the Cloud Service Provider also documents the confirmation to the customer.

The auditor can then automatically and continuously read out whether the documented security incidents have been resolved and whether a solution has been documented. The same applies to the communication of the resolution of the incidents to affected customers. If this is not the case, the unresolved security incident can be documented as the output value of the continuous audit."
Security Incident Management (SIM),SIM-04,Duty of the users to report security incidents to a central body,"The Cloud Service Provider informs employees and external business partners of their obligations. If necessary, they agree to or are contractually obliged to report all security events that become known to them and are directly related to the cloud service provided by the Cloud Service Provider to a previously designated central office of the Cloud Service Provider promptly.

In addition, the Cloud Service Provider communicates that ""false reports"" of events that do not subsequently turn out to be incidents do not have any negative consequences.",,,"Cloud customers ensure through suitable controls that identified security events, which the Cloud Service Provider is required to process, are communicated promptly to previously designated, responsible personnel.

The identification of such security events is supported by suitable controls (cf. complementary criterion for OPS-10).",partially,"The Cloud Service Provider should inform its employees and external business partners about their obligations in a standardised and digital format. This obligation usually occurs when the employee joins the company or the business relationship.

This enables the auditor to automatically and continuously audit whether all employees and external business partners are notified of their obligations by automatically testing whether the clause, if any, is included in the contract when the contract is signed."
Security Incident Management (SIM),SIM-05,Evaluation and learning process,Mechanisms are in place to measure and monitor the type and scope of security incidents and to report them to support agencies. The information obtained from the evaluation is used to identify recurrent or significant incidents and to identify the need for further protection.,,Supporting bodies may be external service providers or government agencies such as the BSI.,Cloud customers ensure through suitable controls that they include into their ISMS the findings and measures related to previous security incidents reported by the Cloud Service Provider. The cloud customers evaluate whether and which supporting measures they might take on their side.,no,"The existing mechanisms for measuring the type and scope of security incidents are rarely changed. As a result, continuous auditing is not effective. In addition, in some cases it can be a manual task carried out by employees to identify recurring incidents or incidents with significant consequences and to develop associated protective measures."
Business Continuity Management (BCM),BCM-01,Top management responsibility,"The top management (or a member of the top management) of the Cloud Service Provider is named as the process owner of business continuity and emergency management and is responsible for establishing the process within the company as well as ensuring compliance with the guidelines. They must ensure that sufficient resources are made available for an effective process.

People in management and other relevant leadership positions demonstrate leadership and commitment to this issue by encouraging employees to actively contribute to the effectiveness of continuity and emergency management.",,,,no,"The responsibilities for continuity and emergency management processes are initially named and rarely changed afterwards. Therefore, a continuous audit is not effective. 

A continuous audit can, however, return the date of the last revision of the guidelines for continuity and emergency management."
Business Continuity Management (BCM),BCM-02,Business impact analysis policies and instructions,"Policies and instructions to determine the impact of any malfunction to the cloud service or enterprise are documented, communicated and made available in accordance with SP-01. The following aspects are considered as minimum:

- Possible scenarios based on a risk analysis;

- Identification of critical products and services

- Identify dependencies, including processes (including resources required), applications, business partners and third parties;

- Capture threats to critical products and services;

- Identification of effects resulting from planned and unplanned malfunctions and changes over time;

- Determination of the maximum acceptable duration of malfunctions;

- Identification of restoration priorities;

- Determination of time targets for the resumption of critical products and services within the maximum acceptable time period (RTO);

- Determination of time targets for the maximum reasonable period during which data can be lost and not recovered (RPO); and

- Estimation of the resources needed for resumption.",,"Scenarios to be considered according to the basic criterion are, for example, the loss of personnel, buildings, infrastructure and service providers.",Cloud customers ensure through suitable controls that the scenarios for a failure of the cloud service or the Cloud Service Provider are sufficiently considered in the context of their business impact analysis.,partially,"A policy can change ad-hoc. However, the continuous audit of policies is only partially feasible as the only attributes that can be tested are the last change date and the status of review or approval, as far as this information is stored in a system. The content of a policy can hardly be tested automatically."
Business Continuity Management (BCM),BCM-03,Planning business continuity,"Based on the business impact analysis, a single framework for operational continuity and business plan planning will be implemented, documented and enforced to ensure that all plans are consistent. Planning is based on established standards, which are documented in a ""Statement of Applicability"".

Business continuity plans and contingency plans take the following aspects into account:

- Defined purpose and scope with consideration of the relevant dependencies;

- Accessibility and comprehensibility of the plans for persons who are to act accordingly;

- Ownership by at least one designated person responsible for review, updating and approval;

- Defined communication channels, roles and responsibilities including notification of the customer;

- Recovery procedures, manual interim solutions and reference information (taking into account prioritisation in the recovery of cloud infrastructure components and services and alignment with customers);

- Methods for putting the plans into effect;

- Continuous process improvement; and

- Interfaces to Security Incident Management.",,The consistency of plans according to the basic criterion must also be maintained when different locations are used.,"Cloud customers ensure through suitable controls that the results of the Business Impact Analysis are sufficiently considered when planning the operational continuity and the business plan in order to provide for the effects of a failure of the cloud service or Cloud Service Provider.

Cloud customers ensure through suitable controls that the availability of the cloud service, its recovery time according to the BCM plan and the data loss of the cloud service are consistent with their own availability requirements and tolerable data loss.",no,"The introduction of the framework and the business plan based on a business impact analysis is a manual process of the Cloud Service Provider.

A continuous audit is not practical. The plans can be tested as part of the recurring audit."
Business Continuity Management (BCM),BCM-04,"Verification, updating and testing of the business continuity","The business impact analysis, business continuity plans and contingency plans are reviewed, updated and tested on a regular basis (at least annually) or after significant organisational or environmental changes. Tests involve affected customers (tenants) and relevant third parties. The tests are documented and results are taken into account for future operational continuity measures.","In addition to the tests, exercises are also carried out which, among other things, have resulted in scenarios from security incidents that have already occurred in the past.","Tests are primarily conducted at the operational level and are aimed at operational target groups. Tests include e.g.:

- Test of technical precautionary measures;

- Functional tests; and

- Plan review.
Exercises also take place on a tactical and strategic level. These include e.g.:

- Plan meeting;

- Staff exercise;

- Command post exercise;

- Communication and alerting exercise;

- Simulation of scenarios; and

- Emergency or full exercise.

After a completed exercise:

- Review and possible adaptation of the existing alarm plan.
Relevant third parties are in particular service providers and suppliers of the Cloud Service Provider who contribute to the provision of the cloud service (cf. basic criteria SSO-02 and SSO-05).","Cloud customers ensure through suitable controls that measures to prevent the impact of a cloud service or Cloud Service Provider outage are regularly reviewed, updated, tested and exercised. The Cloud Service Provider is involved in the tests and exercises in accordance with the contractual agreements.

Cloud customers ensure through suitable controls that the results of the Cloud Service Provider's BCM tests and exercises are incorporated into their own BCM and that they are fully appreciated with regard to ensuring the customer's operational continuity.

In tests and exercises that involve the customer and therefore require own measures on the customer side, cloud customers ensure that the appropriate measures for coping with the scenario are practiced and tested by means of suitable BCM controls.",partially,"Implementing the tests of the operational continuity plans in an annual cycle does not make a continuous audit of the entire criterion effective. The effort for both Cloud Service Providers and auditors to automate and continuously test this process would be higher than the results.

However, it is possible to continuously audit whether a test was carried out within the required time span. To do this, the Cloud Service Provider must document in a standardised manner that and when a test was carried out."
Compliance (COM),COM-01,"Identification of applicable legal, regulatory, self-imposed or contractual requirements","The legal, regulatory, self-imposed and contractual requirements relevant to the information security of the cloud service as well as the Cloud Service Provider's procedures for complying with these requirements are explicitly defined and documented.",,"The Cloud Service Provider's documentation may refer to the following requirements, among others:

- Requirements for the protection of personal data (e.g. EU General Data Protection Regulation);

- Compliance requirements based on contractual obligations with cloud customers (e.g. ISO/IEC 27001, SOC 2, PCI-DSS);

- generally accepted accounting principles (e.g. in accordance with HGB or IFRS);

- Requirements regarding access to data and auditability of digital documents (e.g. according to GDPdU); and

- Other laws (e.g. according to BSIG or AktG).",,no,"A continuous audit of contract specifications, regulations and their documentation does not seem to be effective. In this case, the test within the recurring audit is sufficient.

A continuous audit could assist in giving the date of the last audit of the criteria."
Compliance (COM),COM-02,Policy for planning and conducting audits,"Policies and instructions for planning and conducting audits are documented, communicated and made available in accordance with SP-01 and address the following aspects:

- Restriction to read-only access to system components in accordance with the agreed audit plan and as necessary to perform the activities;

- Activities that may result in malfunctions to the cloud service or breaches of contractual requirements are performed during scheduled maintenance windows or outside peak periods; and

- Logging and monitoring of activities.",The Cloud Service Provider grants its cloud customers contractually guaranteed information and audit rights.,,"Cloud customers ensure through suitable controls that appropriate responses are made to malfunctions to the cloud service through such audits.

To the extent that contractually guaranteed information and audit rights exist, the cloud customers ensure through suitable controls that these rights are designed and executed in accordance with their own requirements.",partially,"A policy can change ad-hoc. However, the continuous audit of policies is only partially feasible as the only attributes that can be tested are the last change date and the status of review or approval, as far as this information is stored in a system. The content of a policy can hardly be tested automatically."
Compliance (COM),COM-03,Internal audits of the information security management system,"Subject matter experts check the compliance of the information security management system at regular intervals, at least annually, with the relevant and applicable legal, regulatory, self-imposed or contractual requirements (cf. COM-01) as well as compliance with the policies and instructions (cf. SP-01) within their scope of responsibility (cf. OIS-01) through internal audits (cf. § 9.2 of ISO/IEC 27001).

Identified vulnerabilities and deviations are subject to risk assessment in accordance with the risk management procedure (cf. OIS-06) and follow-up measures are defined and tracked (cf. OPS-18).","Internal audits are supplemented by procedures to automatically monitor applicable requirements of policies and instructions with regard to the following aspects:

- Configuration of system components to provide the cloud service within the Cloud Service Provider's area of responsibility;

- Performance and availability of these system components;

- Response time to malfunctions and security incidents;

- Recovery time (time to completion of error handling);

Identified vulnerabilities and deviations are automatically reported to the appropriate Cloud Service Provider’s subject matter experts for immediate assessment and action.
 
Cloud customers can view compliance with selected contractual requirements in real time.","Subject matter experts operate, e.g., in the Cloud Service Provider's internal revision department or expert third parties commissioned by the Cloud Service Provider, such as auditing companies, and may hold relevant certifications such as ""Certified Internal Auditor (CIA)"". 

With regard to ISMS compliance, see Section 9.2 of ISO/IEC 27001.",,yes,"The regular performance of an internal audit of the ISMS can be set up as part of compliance monitoring. For this purpose, the results of the internal audit must be digitally documented, as well as the individual audit steps.

A continuous audit of this internal audit is not effective but can only be considered after compliance monitoring has been set up. 

The continuous audit can then supply the date of the last audit as the output value."
Compliance (COM),COM-04,Information on information security performance and management assessment of the ISMS,"The top management of the Cloud Service Provider is regularly informed about the information security performance within the scope of the ISMS in order to ensure its continued suitability, adequacy and effectiveness. The information is included in the management review of the ISMS at is performed at least once a year.",,"The top management is a natural person or group of people who make final decisions for the institution and are responsible for these.

The aspects to be dealt with in the management review of the ISMS are listed in Section 9.3 of ISO / IEC 27001.",,partially,"The actual transmission of information to the Cloud Service Provider's management can be logged and automated. However, the testing of the contents of the communication and the that these have also been included in the management assessment must still be carried out within the regular audit."
Dealing with investigation requests from government agencies (INQ),INQ-01,Legal Assessment of Investigative Inquiries,Investigation requests from government agencies are subjected to a legal assessment by subject matter experts of the Cloud Service Provider. The assessment determines whether the government agency has an applicable and legally valid legal basis and what further steps need to be taken.,,,Cloud customers ensure through suitable controls that the type and scope of government investigation requests and the associated disclosure of their own data has been dealt with in their own risk management and that the use of the cloud service only takes place when this risk has been deemed acceptable.,no,"Although a continuous audit of the performance of the assessment and its documentation is conceivable, a continuous audit is not practical. Rather the criterion aims at the qualification of the auditing personnel as well as the process behind it, which is both subject to manual audit."
Dealing with investigation requests from government agencies (INQ),INQ-02,Informing Cloud Customers about Investigation Requests,"The Cloud Service Provider informs the affected Cloud Customer(s) without undue delay, unless the applicable legal basis on which the government agency is based prohibits this or there are clear indications of illegal actions in connection with the use of the Cloud Service.",,This does not affect other legal or regulatory requirements that requires earlier information for cloud customers.,Cloud customers ensure through suitable controls that such notifications are received and legally checked according to their own specifications and possibilities.,partially,"For internal process monitoring at the Cloud Service Provider and facilitation of the audit, a continuous audit of the period between receipt of the request and information of the customers is conceivable.

However, as this depends on local legal basis, the effort to establish this in the respective regions will be quite high.

If a transaction processing system is implemented at the Cloud Service Provider, at least the process in this system can be continuously audited."
Dealing with investigation requests from government agencies (INQ),INQ-03,Conditions for Access to or Disclosure of Data in Investigation Requests,Access to or disclosure of cloud customer data in connection with government investigation requests is subject to the proviso that the Cloud Service Provider's legal assessment has shown that an applicable and valid legal basis exists and that the investigation request must be granted on that basis.,,,,yes,"To the extent that a separate role is assigned to the investigator in order to gain access to the data, the prerequisites specified in the request can be entered and checked by the system and linked to the assignment of the investigator role.

A continuous query can then be made to ensure that the role was only granted if the prerequisites defined by the system were fulfilled. Deviations can be audited manually."
Dealing with investigation requests from government agencies (INQ),INQ-04,Limiting Access to or Disclosure of Data in Investigation Requests,"The Cloud Service Provider's procedures establishing access to or disclosing data of cloud customers in the context of investigation requests from governmental agencies ensure that the agencies only gain access to or insight into the data that is the subject of the investigation request.

If no clear limitation of the data is possible, the Cloud Service Provider anonymises or pseudonymises the data so that government agencies can only assign it to those cloud customers who are subject of the investigation request.",,,,partially,"A separate role for the investigator is to be provided (cf. also INQ-03). It is conceivable that certain data types for this role may not be visible, pseudonymised or anonymised, or that data of customers that are not part of the investigation may be excluded. 

However, this requires a manual effort in the configuration and assignment of the investigator role.

Under these conditions, however, a continuous audit of whether and to what extent the investigator had access to data is conceivable."
Product Safety and Security (PSS),PSS-01,Guidelines and Recommendations for Cloud Customers,"The Cloud Service Provider provides cloud customers with guidelines and recommendations for the secure use of the cloud service provided. The information contained therein is intended to assist the cloud customer in the secure configuration, installation and use of the cloud service, to the extent applicable to the cloud service and the responsibility of the cloud user.

The type and scope of the information provided will be based on the needs of subject matter experts of the cloud customers who set information security requirements, implement them or verify the implementation (e.g. IT, Compliance, Internal Audit). The information in the guidelines and recommendations for the secure use of the cloud service address the following aspects, where applicable to the cloud service:

- Instructions for secure configuration;

- Information sources on known vulnerabilities and update mechanisms;

- Error handling and logging mechanisms;

- Authentication mechanisms;

- Roles and rights concept including combinations that result in an 
elevated risk; and

- Services and functions for administration of the cloud service by privileged users. 

The information is maintained so that it is applicable to the cloud service provided in the version intended for productive use.",,,"Cloud customers ensure through suitable controls that the Cloud Service Provider's information is used to derive policies, concepts and measures for the secure configuration and use (according to their own risk assessment) of the cloud service. Compliance with these policies, concepts and measures is checked. Changes to the information are promptly assessed for their impact on these documents and any necessary changes are implemented.",partially,"The provision of information from the Cloud Service Provider to cloud customers can only be audited continuously to a limited extent. For example, the Cloud Service Provider can make the guidelines and recommendations available via its internal customer portal, which makes a continuous audit only partially effective.

Here, only an audit for completeness and the last modification date is conceivable, although a discussion of the content of the changes is not effective. For this, a semantic evaluation would be necessary."
Product Safety and Security (PSS),PSS-02,Identification of Vulnerabilities of the Cloud Service,"The Cloud Service Provider applies appropriate measures to check the cloud service for vulnerabilities which might have been integrated into the cloud service during the software development process.

The procedures for identifying such vulnerabilities are part of the software development process and, depending on a risk assessment, include the following activities:

- Static Application Security Testing;

- Dynamic Application Security Testing;

- Code reviews by the Cloud Service Provider's subject matter experts; and

- Obtaining information about confirmed vulnerabilities in software libraries provided by third parties and used in their own cloud service.

The severity of identified vulnerabilities is assessed according to defined criteria and measures are taken to immediately eliminate or mitigate them.",The procedures for identifying such vulnerabilities also include annual code reviews or security penetration tests by qualified external third parties.,"Known vulnerabilities in externally related system components (e.g. operating systems) used for the development and provision of the cloud service but not going through the Cloud Service Provider's software development process are the subject of criteria OPS-23 (Management of vulnerabilities, malfunctions and errors - open vulnerability assessment).",,yes,"The Cloud Service Provider automatically checks its cloud services for vulnerabilities. This check is documented in a standardised digital form.

By auditing this documentation, the auditor verifies, whether the Cloud Service Provider has performed a vulnerability scan. In addition, the severity of the identified vulnerabilities can be integrated into this continuous audit if the defined criteria and their application are standardised and machine-readable.

The information on identified and/or repaired vulnerabilities can also be transferred directly to the affected customer and thus increased transparency can be achieved."
Product Safety and Security (PSS),PSS-03,Online Register of Known Vulnerabilities,"The Cloud Service Provider operates or refers to a daily updated online register of known vulnerabilities that affect the Cloud Service Provider and assets provided by the Cloud Service Provider that the cloud customers have to install, provide or operate themselves under the customers responsibility.

The presentation of the vulnerabilities follows the Common Vulnerability Scoring System (CVSS).

The online register is easily accessible to any cloud customer. The information contained therein forms a suitable basis for risk assessment and possible follow-up measures on the part of cloud users. 

For each vulnerability, it is indicated whether software updates (e.g. patch, update) are available, when they will be rolled out and whether they will be deployed by the Cloud Service Provider, the cloud customer or both of them together.","Assets provided by the Cloud Service Provider, which must be installed, provided or operated by cloud users within their area of responsibility, are equipped with automatic update mechanisms. After approval by the respective cloud user, software updates can be rolled out in such a way that they can be distributed to all affected users without human interaction.","Assets provided by the Cloud Service Provider that cloud customers have to install, deploy or operate themselves in their area of responsibility are for example local software clients and apps as well as tools for integrating the cloud service.

If the cloud service relies on other cloud services, this registry has to incorporate or refer to the vulnerabilities of those other cloud services in order for this criterion to be met.","Cloud customers ensure through suitable controls that the information in this register is incorporated sufficiently quickly into their own risk management, evaluated and, if necessary, taken into account in their own area of responsibility.",yes,"A continuous audit includes, above all, whether the information is updated daily. The distribution of software updates must be documented by the Cloud Service Provider (logs). This documentation can then be automatically and continuously evaluated by the auditor to ensure that the software used on assets in the cloud users' area of responsibility is up-to-date."
Product Safety and Security (PSS),PSS-04,Error handling and Logging Mechanisms,"The cloud service provided is equipped with error handling and logging mechanisms. These enable cloud users to obtain security-related information about the security status of the cloud service as well as the data, services or functions it provides.

The information is detailed enough to allow cloud users to check the following aspects, insofar as they are applicable to the cloud service:

- Which data, services or functions available to the cloud user within the cloud service, have been accessed by whom and when (Audit Logs);

- Malfunctions during processing of automatic or manual actions; and

- Changes to security-relevant configuration parameters, error handling and logging mechanisms, user authentication, action authorisation, cryptography, and communication security.

The logged information is protected from unauthorised access and modification and can be deleted by the Cloud Customer.

If the cloud customer is responsible for the activation or type and scope of logging, the Cloud Service Provider must provide appropriate logging capabilities.",Cloud users can retrieve security-related information via documented interfaces which are suitable for further processing this information as part of their Security Information and Event Management (SIEM).,"In the case of a SaaS service for secure data exchange, the terms data, services or functions would mean, for example, the logging of all read or write accesses to the stored files and their metadata.","If the cloud service is equipped with error handling and logging mechanisms, cloud customers must activate these and configure them according to defined requirements. The cloud customer must incorporate his own information security management for this purpose.",yes,"The information about the security status of cloud services and further data provided can be read automatically and continuously, as these must be made available to cloud users in digital form. 

This enables continuous auditing."
Product Safety and Security (PSS),PSS-05,Authentication Mechanisms,"The Cloud Service Provider provides authentication mechanisms that can force strong authentication (e.g. two or more factors) for users, IT components or applications within the cloud users' area of responsibility.
These authentication mechanisms are set up at all access points that allow users, IT components or applications to interact with the cloud service. 

For privileged users, IT components or applications, these authentication mechanisms are enforced.","The cloud service offers out-of-band authentication (OOB), in which the factors are transmitted via different channels (e.g. Internet and mobile network).","IT components in the sense of this criterion are independently usable objects with external interfaces that can be connected with other IT components.

Access points in the sense of this criterion are those that can be accessed by users, IT components or applications via networks (for users, for example, the login screen on the publicly accessible website of the Cloud Service Provider).

Multi-factor authentication can be performed with cryptographic certificates, smart cards or tokens, for example.",Cloud customers ensure through suitable controls that the authentication mechanisms offered by the cloud service are used in accordance with the customer's identity and authorisation management requirements.,partially,"The implementation of authentication mechanisms for users takes place via configurations that are only adapted at a low frequency. Thus, continuous auditing is only partially effective here.

Nevertheless, it is conceivable to monitor the status of the underlying authentication system, but only deviations from target configurations can be checked. Whether these deviations are desired or not must still be recorded in a manual audit."
Product Safety and Security (PSS),PSS-06,Session Management,"To protect confidentiality, availability, integrity and authenticity during interactions with the cloud service, a suitable session management system is used that at least corresponds to the state-of-the-art and is protected against known attacks. Mechanisms are implemented that invalidate a session after it has been detected as inactive. The inactivity can be detected by time measurement. In this case, the time interval can be configured by the Cloud Service Provider or - if technically possible - by the cloud customer.",,"Known attacks include manipulation, forgery, session takeover, denial of service attacks, enveloping, replay and null cipher attacks.",Cloud customers can use appropriate controls to ensure that they are using the session management protection features of the cloud service in accordance with their own ISMS. They also set the time period after which a session becomes invalid according to their own ISMS specifications.,partially,"The use of Session Management is controlled by configurations. These configurations are changed or adapted at a low frequency, so continuous auditing is only partially effective.

Nevertheless, monitoring the status of the underlying authentication system is conceivable, but only deviations from target configurations can be checked. Whether these deviations are normal must still be tested in a manual audit."
Product Safety and Security (PSS),PSS-07,Confidentiality of Authentication Information,"If passwords are used as authentication information for the cloud service, their confidentiality is ensured by the following procedures:

- Users can initially create the password themselves or must change an initial password when logging in to the cloud service for the first time. An initial password loses its validity after a maximum of 14 days.

- When creating passwords, compliance with the length and complexity requirements of the Cloud Service Provider (cf. IDM-09) or the cloud customer is technically enforced.

- The user is informed about changing or resetting the password.

- The server-side storage takes place using state-of-the-art cryptographically strong hash functions in combination with at least 32-bit long salt values.",,"The state-of-the-art regarding cryptographically strong hash functions is described in the current version of the BSI Technical Guideline TR-02102-1 ""Cryptographic mechanisms: Recommendations and key lengths"". In version 2019-01 of this guideline these were:

- SHA-256, SHA-512/256, SHA-384, SHA-512; and

- SHA3-256, SHA3-384, SHA3-512.",Cloud customers ensure through suitable controls that they use sufficiently secure passwords (cf. IDM-09) according to their own assessment and that the risks of unauthorised access associated with their own choice are borne.,no,Compliance with security policies for password assignment is configured centrally and adjusted at a low frequency. A continuous audit is therefore only of limited use.
Product Safety and Security (PSS),PSS-08,Roles and Rights Concept,"The Cloud Service Provider provides cloud users with a roles and rights concept for managing access rights. It describes rights profiles for the functions provided by the cloud service.

The rights profiles are suitable for enabling cloud users to manage access authorisations and permissions in accordance with the principle of least-privilege and how it is necessary for the performance of tasks (""need-to-know principle"") and to implement the principle of functional separation between operational and controlling functions (""separation of duties"").",,"In IaaS, a role and rights concept would describe, among other things, the rights profiles for the following functions of the cloud service:

- Administration of the states of virtual machines (start, 
pause, stop) as well as for their migration or monitoring;

- Management of available images that can be used to create virtual machines; and

- Management of virtual networks (e.g. configuration of virtual routers and switches).","Cloud customers ensure through suitable controls that:

- the granting of permissions to users in their area of responsibility is subject to authorisation; and

- the appropriateness of the assigned authorisations is regularly reviewed and authorisations are adjusted or withdrawn in a timely manner in the event of necessary changes (e.g. employee resignation).",partially,"The existence of a roles and rights concept in the form of a configuration in the system can be monitored. However, it should be noted that, regarding the content of this concept, only deviations from target configurations can be checked. Whether these deviations are desired or not must still be recorded in a manual audit."
Product Safety and Security (PSS),PSS-09,Authorisation Mechanisms,"Access to the functions provided by the cloud service is restricted by access controls (authorisation mechanisms) that verify whether users, IT components, or applications are authorised to perform certain actions.

The Cloud Service Provider validates the functionality of the authorisation mechanisms before new functions are made available to cloud users and in the event of changes to the authorisation mechanisms of existing functions (cf. DEV-06). The severity of identified vulnerabilities is assessed according to defined criteria based on industry standard metrics (e.g. Common Vulnerability Scoring System) and measures for timely resolution or mitigation are initiated. Vulnerabilities that have not been fixed are listed in the online register of known vulnerabilities (cf. PSS-02).","Access controls are attribute-based to enable granular and contextual checks against multiple attributes of a user, IT component, or application (e.g., role, location, authentication method).",,,yes,"The changes to authorisation mechanisms and the identification of vulnerabilities are documented in a standardised manner by the Cloud Service Provider. This documentation can be automated and continuously audited. If the elimination of the vulnerabilities and their prioritisation also takes place in a standardised form (according to standardised criteria), these points can be integrated into the continuous audit."
Product Safety and Security (PSS),PSS-10,Software Defined Networking,"If the Cloud Service offers functions for software-defined networking (SDN), the confidentiality of the data of the cloud user is ensured by suitable SDN procedures.

The Cloud Service Provider validates the functionality of the SDN functions before providing new SDN features to cloud users or modifying existing SDN features. Identified defects are assessed and corrected in a risk-oriented manner.",,"This criterion is typically not applicable to the SaaS service model.

Suitable SDN methods for increasing confidentiality are, for example, L2 overlay networking (tagging) or tunnelling/encapsulation.",,yes,"Validation during provision and modification of SDN functions and identification of defects can be documented in a standardised manner by the Cloud Service Provider.

This documentation can be audited continuously and automatically by the auditor.

The ""marking"" of the data is carried out by a configuration that has to be tested centrally. A continuous audit of all transmitted data packets would not be effective here. 

The status of the configuration can be continuously audited against a target value, a content evaluation must be carried out manually."
Product Safety and Security (PSS),PSS-11,Images for Virtual Machines and Containers,"If cloud customers operate virtual machines or containers with the cloud service, the Cloud Service Provider must ensure the following aspects:

- The cloud customer can restrict the selection of images of virtual machines or containers according to his specifications, so that users of this cloud customer can only launch the images or containers released according to these restrictions.

- If the Cloud Service Provider provides images of virtual machines or containers to the Cloud Customer, the Cloud Service Provider appropriately inform the Cloud Customer of the changes made to the previous version.

- In addition, these images provided by the Cloud Service Provider are hardened according to generally accepted industry standards.","At startup and runtime of virtual machine or container images, an integrity check is performed that detects image manipulations and reports them to the cloud customer.","This criterion is typically not applicable to the SaaS service model.

Generally accepted industry standards are, for example, the Security Configuration Benchmark of the Centre for Internet Security (CIS) or the corresponding modules in the BSI IT-Grundschutz-Kompendium.",Cloud customers use appropriate controls to ensure that the images of virtual machines or containers they operate with the cloud service comply with their information security management requirements and that the results of the integrity checks at startup and at runtime are processed according to these requirements.,partially,"These functions must be centrally audited at regular intervals, but not continuously. Therefore, it is sufficient to integrate this into the recurring audit.

With an agent system, it would be possible to continuously query the configurations of the individual virtual machines and thus compare them with the target image. This could also be set up on demand and thus become part of the control that takes over the integrity check."
Product Safety and Security (PSS),PSS-12,Locations of Data Processing and Storage,"The cloud customer is able to specify the locations (location/country) of the data processing and storage including data backups according to the contractually available options.

This must be ensured by the cloud architecture.",,"This criterion supplements the General Condition BC-01.

The cloud architecture must exist in such a way that it enables the technical design of the IT infrastructure to provide the cloud service in accordance with the data location specifications agreed with the customer.","Cloud customers ensure through suitable controls that, when selecting service providers and configuring the cloud service, they are informed about the available data processing and storage locations and, if there is a choice between different locations, that they select those that meet their own requirements.

Depending on the use case and especially when using services of a Cloud Service Provider which is based in another country, cloud customers take the laws applicable to them into account when making their selection (e.g. when processing personal data; compliance with legal retention obligations for business documents, etc.).",yes,"A continuous survey of the location of the data and the country from which the service is provided can be carried out automatically by the Cloud Service Provider.

This information can then be made available to the customer, for example on his dashboard or on request."
