,,,,,Typical Control Applicability and Ownership,Typical Control Applicability and Ownership,Typical Control Applicability and Ownership,Typical Control Applicability and Ownership,Architectural Relevance - GenAI Stack Components,Architectural Relevance - GenAI Stack Components,Architectural Relevance - GenAI Stack Components,Architectural Relevance - GenAI Stack Components,Architectural Relevance - GenAI Stack Components,Architectural Relevance - GenAI Stack Components,Lifecycle Relevance ,Lifecycle Relevance ,Lifecycle Relevance ,Lifecycle Relevance ,Lifecycle Relevance ,Lifecycle Relevance ,Organizational Relevance,Organizational Relevance,Organizational Relevance,Organizational Relevance,Organizational Relevance,Organizational Relevance,Organizational Relevance,Organizational Relevance,Organizational Relevance,Threat Category,Threat Category,Threat Category,Threat Category,Threat Category,Threat Category,Threat Category,Threat Category,Threat Category
Model Security,Robustness against Adversarial Attack  / Model Hardening,MDS-07,"Define, implement, and evaluate processes, procedures, and technical
measures for Model Hardening to mitigate relevant adversarial attacks as identified in the Threat Analysis and Adversarial Threat Analysis (see control MDS-06)",AI-Specific,Owned by the Cloud Service Provider (CSP),Owned by the Model Provider (MP),Shared Model Provider-Orchestrated Service Provider (Shared MP-OSP),Shared Orchestrated Service Provider-Application Provider (Shared OSP-AP),FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"Data collection, Data curation, Data storage, Team and expertise","Design, Training","Evaluation, Validation/Red Teaming, Re-evaluation","Orchestration, AI Services supply chain, AI applications","Operations, Maintenance, Continuous improvement","Model disposal, Data deletion",,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Model Security,Model Integrity Checks,MDS-08,"Regularly calculate and compare checksums using cryptographic hashes of model checkpoints to detect unauthorized modifications (e.g. Model version pinning). Apply at least annually based on the level of risk, or after any change of hands.",AI-Specific,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Owned by the Model Provider (MP),Shared Model Provider-Orchestrated Service Provider (Shared MP-OSP),Shared Orchestrated Service Provider-Application Provider (Shared OSP-AP),FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"Data collection, Data curation, Data storage","Training, Design","Validation/Red Teaming, Evaluation, Re-evaluation","Orchestration, AI Services supply chain, AI applications","Operations, Maintenance, Continuous monitoring","Archiving, Model disposal",,,,,,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
Model Security,Model Signing/Ownership Verification,MDS-09,"Sign models cryptographically and verify signatures to ensure model provenance and ownership, any time the model changes hands or is loaded from storage.",Cloud & AI Related,Owned by the Cloud Service Provider (CSP),Owned by the Model Provider (MP),Shared Model Provider-Orchestrated Service Provider (Shared MP-OSP),Shared Orchestrated Service Provider-Application Provider (Shared OSP-AP),FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,Team and expertise,Training,Validation/Red Teaming,"AI Services supply chain, Orchestration, AI applications","Operations, Maintenance",Model disposal,,,,,,,,,,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
Model Security,Model Continuous Monitoring,MDS-10,"Define, implement, and evaluate processes, procedures, and technical measures for continuous monitoring of model performance metrics over time to identify sudden shifts or unexpected changes in predictions that could degrade model performance.",Cloud & AI Related,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Owned by the Model Provider (MP),Shared Model Provider-Orchestrated Service Provider (Shared MP-OSP),Shared Orchestrated Service Provider-Application Provider (Shared OSP-AP),FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,Resource provisioning,Design,"Re-evaluation, Evaluation","Orchestration, AI Services supply chain, AI applications","Operations, Maintenance, Continuous monitoring, Continuous improvement",Data deletion,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Model Security,Model Failure,MDS-11,"Evaluate the need for redundancy in model-serving infrastructure. 
Implement redundancy in AI systems based on this evaluation by deploying multiple models, apps, agents, RAG pipelines, etc, maintaining backups of model serving infrastructure, or implementing a Mixture of Experts architecture.",AI-Specific,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Owned by the Model Provider (MP),Shared Model Provider-Orchestrated Service Provider (Shared MP-OSP),Shared Orchestrated Service Provider-Application Provider (Shared OSP-AP),FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"Data storage, Resource provisioning","Design, Training","Evaluation, Validation/Red Teaming, Re-evaluation","Orchestration, AI applications","Operations, Maintenance, Continuous monitoring, Continuous improvement","Archiving, Model disposal",,,,,,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
Model Security,Open weight model,MDS-12,"Establish a process to evaluate risk associated with open weight models. Periodically review these risk factors, and implement a process to monitor and mitigate any determined vulnerabilities.",AI-Specific,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Owned by the Model Provider (MP),Shared Model Provider-Orchestrated Service Provider (Shared MP-OSP),Shared Orchestrated Service Provider-Application Provider (Shared OSP-AP),FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,"Resource provisioning, Team and expertise","Training, Guardrails","Evaluation, Validation/Red Teaming","AI Services supply chain, AI applications","Operations, Maintenance, Continuous improvement","Archiving, Model disposal",,,,,,,,,,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
Model Security,Secure Model Format,MDS-13,Adopt secure model formats and processes for AI model serialization where applicable.,Cloud & AI Related,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Owned by the Model Provider (MP),Shared Model Provider-Orchestrated Service Provider (Shared MP-OSP),Shared Orchestrated Service Provider-Application Provider (Shared OSP-AP),FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,Team and expertise,"Design, Guardrails",Validation/Red Teaming,"Orchestration, AI Services supply chain",Maintenance,Model disposal,,,,,,,,,,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
Model Security,Server-Side LLM Prompt Construction,MDS-14,"Establish a control mechanism to ensure that prompts intended for Large Language Models (LLMs) are constructed server-side, preventing the acceptance of fully-formed prompts directly from users.",AI-Specific,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Owned by the Model Provider (MP),Owned by the Orchestrated Service Provider (OSP),Shared Orchestrated Service Provider-Application Provider (Shared OSP-AP),FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,N/A,"Design, Guardrails",Evaluation,Orchestration,"Operations, Continuous improvement",N/A,,,,,,,,,,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
"Security Incident Management, E-Discovery, & Cloud Forensics",Security Incident Management Policy and Procedures,SEF-01,"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for Security Incident Management, E-Discovery, and Cloud
Forensics. Review and update the policies and procedures at least annually.
",Cloud & AI Related,Shared across the supply chain,Owned by the Model Provider (MP),Shared Model Provider-Orchestrated Service Provider (Shared MP-OSP),Owned by the Application Provider (AP),FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,Data storage,N/A,Re-evaluation,,"Operations, Maintenance, Continuous monitoring, Continuous improvement","Archiving, Data deletion, Model disposal",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Security Incident Management, E-Discovery, & Cloud Forensics",Service Management Policy and Procedures,SEF-02,"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for the timely management of security incidents. Review
and update the policies and procedures at least annually.
",Cloud & AI Related,Shared across the supply chain,Owned by the Model Provider (MP),Shared Model Provider-Orchestrated Service Provider (Shared MP-OSP),Shared Application Provider-AI Customer (Shared AP-AIC),FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,Data storage,Guardrails,"Validation/Red Teaming, Re-evaluation","Orchestration, AI Services supply chain, AI applications","Operations, Maintenance, Continuous monitoring, Continuous improvement",Data deletion,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Security Incident Management, E-Discovery, & Cloud Forensics",Incident Response Plans,SEF-03,"'Establish, document, approve, communicate, apply, evaluate and maintain
a security incident response plan, which includes but is not limited to: relevant
internal departments, impacted CSCs, and other business critical relationships
(such as supply-chain) that may be impacted.'
",Cloud & AI Related,Shared across the supply chain,Owned by the Model Provider (MP),Shared Model Provider-Orchestrated Service Provider (Shared MP-OSP),Shared Orchestrated Service Provider-Application Provider (Shared OSP-AP),FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,Data storage,N/A,N/A,"Orchestration, AI Services supply chain, AI applications","Operations, Maintenance, Continuous monitoring, Continuous improvement",N/A,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"Security Incident Management, E-Discovery, & Cloud Forensics",Incident Response Testing,SEF-04,"Test and update as necessary incident response plans at planned intervals
or upon significant organizational or environmental changes for effectiveness.
",Cloud & AI Related,Shared across the supply chain,Owned by the Model Provider (MP),Shared Model Provider-Orchestrated Service Provider (Shared MP-OSP),Shared Orchestrated Service Provider-Application Provider (Shared OSP-AP),FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,"Data storage, Resource provisioning, Team and expertise",Guardrails,"Evaluation, Validation/Red Teaming, Re-evaluation","Orchestration, AI Services supply chain, AI applications","Operations, Maintenance, Continuous monitoring, Continuous improvement",Archiving,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
"Establish and monitor information security incident metrics.
",Incident Response Metrics,SEF-05,Establish and monitor information security incident metrics.,Cloud & AI Related,Shared across the supply chain,Owned by the Model Provider (MP),Shared Model Provider-Orchestrated Service Provider (Shared MP-OSP),Shared Orchestrated Service Provider-Application Provider (Shared OSP-AP),FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,Data storage,Guardrails,Re-evaluation,"Orchestration, AI Services supply chain, AI applications","Operations, Maintenance, Continuous monitoring, Continuous improvement",Data deletion,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"Security Incident Management, E-Discovery, & Cloud Forensics",Event Triage Processes,SEF-06,"Define, implement and evaluate processes, procedures and technical
measures supporting business processes to triage security-related events.
",Cloud & AI Related,Shared across the supply chain,Owned by the Model Provider (MP),Shared Model Provider-Orchestrated Service Provider (Shared MP-OSP),Shared Orchestrated Service Provider-Application Provider (Shared OSP-AP),FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,Data storage,Guardrails,Re-evaluation,"AI Services supply chain, AI applications","Operations, Maintenance, Continuous monitoring, Continuous improvement",N/A,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
"Security Incident Management, E-Discovery, & Cloud Forensics",Security Breach Notification,SEF-07,"Define and implement, processes, procedures and technical measures
for security breach notifications. Report security breaches and assumed security
breaches including any relevant supply chain breaches, as per applicable SLAs,
laws and regulations.",Cloud & AI Related,Shared across the supply chain,Shared across the supply chain,Shared across the supply chain,Shared across the supply chain,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"Data collection, Data curation, Data storage","Training, Guardrails","Evaluation, Validation/Red Teaming, Re-evaluation","Orchestration, AI Services supply chain, AI applications","Operations, Maintenance, Continuous monitoring, Continuous improvement",Data deletion,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Security Incident Management, E-Discovery, & Cloud Forensics",Points of Contact Maintenance,SEF-08,"Maintain points of contact for applicable regulation authorities,
national and local law enforcement, and other legal jurisdictional authorities.
",Cloud & AI Related,Shared across the supply chain,Owned by the Model Provider (MP),Shared Model Provider-Orchestrated Service Provider (Shared MP-OSP),Owned by the Application Provider (AP),FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,N/A,N/A,N/A,N/A,"Operations, Continuous monitoring",N/A,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"Security Incident Management, E-Discovery, & Cloud Forensics",Incident Response,SEF-09,"Define incident categories and severity levels for AI systems, and determine response procedures for each, including automated response where applicable.",Cloud & AI Related,Shared across the supply chain,Owned by the Model Provider (MP),Shared Model Provider-Orchestrated Service Provider (Shared MP-OSP),Owned by the Application Provider (AP),FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,Data storage,Guardrails,Re-evaluation,"Orchestration, AI Services supply chain, AI applications","Operations, Maintenance, Continuous monitoring, Continuous improvement",Data deletion,,,,,,,,,,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"Supply Chain Management, Transparency, and Accountability",SSRM Policy and Procedures,STA-01,"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for the application of the Shared Security Responsibility
Model (SSRM) within the organization. Review and update the policies and procedures
at least annually.
",Cloud & AI Related,Shared across the supply chain,Owned by the Model Provider (MP),Shared Model Provider-Orchestrated Service Provider (Shared MP-OSP),Shared Application Provider-AI Customer (Shared AP-AIC),TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,"Data storage, Team and expertise",Guardrails,Re-evaluation,"Orchestration, AI Services supply chain, AI applications","Operations, Maintenance, Continuous monitoring, Continuous improvement","Archiving, Data deletion, Model disposal",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
"Supply Chain Management, Transparency, and Accountability",SSRM Supply Chain,STA-02,"Apply, document, implement and manage the SSRM throughout the supply
chain for the cloud service offering.
",Cloud & AI Related,Shared across the supply chain,Owned by the Model Provider (MP),Owned by the Orchestrated Service Provider (OSP),Owned by the Application Provider (AP),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Data collection, Data curation, Data storage, Resource provisioning","Design, Training, Guardrails","Evaluation, Validation/Red Teaming, Re-evaluation","Orchestration, AI Services supply chain, AI applications","Operations, Maintenance, Continuous monitoring, Continuous improvement","Archiving, Data deletion, Model disposal",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"Supply Chain Management, Transparency, and Accountability",SSRM Guidance,STA-03,"Provide SSRM Guidance to the CSC detailing information about the
SSRM applicability throughout the supply chain.",AI-Specific,Owned by the Cloud Service Provider (CSP),Owned by the Model Provider (MP),Shared Model Provider-Orchestrated Service Provider (Shared MP-OSP),Owned by the Application Provider (AP),FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"Data collection, Data curation, Data storage",Guardrails,"Evaluation, Validation/Red Teaming, Re-evaluation","AI Services supply chain, AI applications","Operations, Maintenance, Continuous monitoring, Continuous improvement",Data deletion,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"Supply Chain Management, Transparency, and Accountability",SSRM Control Ownership,STA-04,"Delineate the shared ownership and applicability of all CSA CCM controls
according to the SSRM for the cloud service offering.
",Cloud-Specific,Shared across the supply chain,Owned by the Model Provider (MP),Owned by the Orchestrated Service Provider (OSP),Owned by the Application Provider (AP),FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,"Data collection, Data curation, Data storage, Resource provisioning",Training,"Evaluation, Validation/Red Teaming, Re-evaluation","Orchestration, AI Services supply chain, AI applications","Operations, Maintenance, Continuous monitoring, Continuous improvement","Archiving, Data deletion, Model disposal",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Supply Chain Management, Transparency, and Accountability",SSRM Documentation Review,STA-05,"Review and validate SSRM documentation for all cloud services offerings
the organization uses.
",Cloud & AI Related,Shared across the supply chain,Owned by the Model Provider (MP),Shared Model Provider-Orchestrated Service Provider (Shared MP-OSP),Owned by the Application Provider (AP),FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,"Data storage, Resource provisioning",N/A,N/A,"Orchestration, AI Services supply chain, AI applications","Operations, Maintenance, Continuous monitoring, Continuous improvement","Archiving, Data deletion, Model disposal",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"Supply Chain Management, Transparency, and Accountability",SSRM Control Implementation,STA-06,"Implement, operate, and audit or assess the portions of the SSRM
which the organization is responsible for.
",Cloud & AI Related,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Owned by the Model Provider (MP),Shared Model Provider-Orchestrated Service Provider (Shared MP-OSP),Owned by the Application Provider (AP),FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,Data storage,N/A,"Evaluation, Validation/Red Teaming, Re-evaluation","Orchestration, AI Services supply chain, AI applications","Operations, Maintenance, Continuous monitoring, Continuous improvement","Archiving, Data deletion, Model disposal",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"Supply Chain Management, Transparency, and Accountability",Supply Chain Inventory,STA-07,"Develop and maintain an inventory of all supply chain relationships.
",Cloud & AI Related,Shared across the supply chain,Owned by the Model Provider (MP),Shared Model Provider-Orchestrated Service Provider (Shared MP-OSP),Owned by the Application Provider (AP),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Data storage, Resource provisioning",N/A,N/A,"Orchestration, AI Services supply chain, AI applications",Maintenance,Data deletion,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"Supply Chain Management, Transparency, and Accountability",Supply Chain Risk Management,STA-08,"CSPs periodically review risk factors associated with all organizations
within their supply chain.
",Cloud & AI Related,Owned by the Cloud Service Provider (CSP),Owned by the Model Provider (MP),Shared Model Provider-Orchestrated Service Provider (Shared MP-OSP),Owned by the Application Provider (AP),FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,"Data collection, Data curation, Data storage, Resource provisioning","Training, Guardrails",N/A,"Orchestration, AI Services supply chain, AI applications","Operations, Maintenance, Continuous monitoring, Continuous improvement",Data deletion,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"Supply Chain Management, Transparency, and Accountability",Primary Service and Contractual Agreement,STA-09,"Service agreements between CSPs and CSCs (tenants) must incorporate at least the following mutually-agreed upon provisions and/or terms:
• Scope, characteristics and location of business relationship and services offered
• Information security requirements (including SSRM)
• Change management process
• Logging and monitoring capability
• Incident management and communication procedures
• Right to audit and third party assessment
• Service termination
• Interoperability and portability requirements
• Data privacy
",Cloud & AI Related,Shared across the supply chain,Owned by the Model Provider (MP),Shared Orchestrated Service Provider-Application Provider (Shared OSP-AP),Owned by the Application Provider (AP),TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,Data storage,N/A,Validation/Red Teaming,AI Services supply chain,"Operations, Continuous monitoring, Continuous improvement",Data deletion,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Supply Chain Management, Transparency, and Accountability",Supply Chain Agreement Review,STA-10,"Review supply chain agreements between CSPs and CSCs at least annually.
",Cloud & AI Related,Shared across the supply chain,Shared across the supply chain,Owned by the Orchestrated Service Provider (OSP),Shared Orchestrated Service Provider-Application Provider (Shared OSP-AP),FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,"Data storage, Resource provisioning",,N/A,"Orchestration, AI Services supply chain","Operations, Maintenance, Continuous monitoring",Data deletion,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"Supply Chain Management, Transparency, and Accountability",Internal Compliance Testing,STA-11,"Define and implement a process for conducting internal assessments
to confirm conformance and effectiveness of standards, policies, procedures,
and service level agreement activities at least annually.
",Cloud & AI Related,Shared across the supply chain,Owned by the Model Provider (MP),Shared Model Provider-Orchestrated Service Provider (Shared MP-OSP),Owned by the Application Provider (AP),FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,"Data storage, Resource provisioning, Team and expertise","Design, Training, Guardrails","Evaluation, Validation/Red Teaming, Re-evaluation","Orchestration, AI Services supply chain, AI applications","Operations, Maintenance, Continuous monitoring, Continuous improvement","Archiving, Data deletion, Model disposal",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Supply Chain Management, Transparency, and Accountability",Supply Chain Service Agreement Compliance,STA-12,"Implement policies requiring all CSPs throughout the supply chain
to comply with information security, confidentiality, access control, privacy,
audit, personnel policy and service level requirements and standards.
",Cloud & AI Related,Shared across the supply chain,Owned by the Model Provider (MP),Owned by the Orchestrated Service Provider (OSP),Shared Application Provider-AI Customer (Shared AP-AIC),FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"Data collection, Data curation, Data storage, Resource provisioning","Design, Training, Guardrails","Evaluation, Validation/Red Teaming, Re-evaluation","Orchestration, AI Services supply chain, AI applications","Operations, Maintenance, Continuous monitoring, Continuous improvement","Archiving, Data deletion, Model disposal",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Supply Chain Management, Transparency, and Accountability",Supply Chain Governance Review,STA-13,"Periodically review the organization's supply chain partners' IT
governance policies and procedures.",Cloud & AI Related,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Owned by the Model Provider (MP),Shared Model Provider-Orchestrated Service Provider (Shared MP-OSP),Shared Application Provider-AI Customer (Shared AP-AIC),FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,"Data collection, Data curation, Data storage, Resource provisioning","Design, Training, Guardrails","Evaluation, Validation/Red Teaming, Re-evaluation","Orchestration, AI Services supply chain, AI applications","Operations, Maintenance, Continuous monitoring, Continuous improvement","Archiving, Data deletion, Model disposal",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"Supply Chain Management, Transparency, and Accountability",Supply Chain Data Security Assessment,STA-14,"Define and implement a process for conducting security assessments
periodically for all organizations within the supply chain.",Cloud & AI Related,Shared across the supply chain,Owned by the Model Provider (MP),Shared Model Provider-Orchestrated Service Provider (Shared MP-OSP),Owned by the Application Provider (AP),FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,"Data collection, Data curation, Data storage, Resource provisioning",Guardrails,"Validation/Red Teaming, Re-evaluation","Orchestration, AI Services supply chain, AI applications","Operations, Maintenance, Continuous monitoring, Continuous improvement","Archiving, Data deletion, Model disposal",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Supply Chain Management, Transparency, and Accountability",Security Boundaries,STA-15,"Establish security boundaries for both pre-production and production environments within the AI lifecycle (or the three attack surfaces of ""user input"", ""training data"", and ""AI model"") based on the risk level, that mirrors the standards for production applications to prevent them from compromising security principles. The security boundary is the need-to-know of the role of the LLM agent (as defined in IAM-17) and the associated risk level of the AI system. This security boundary should follow the LLM agent across environments.",AI-Specific,Shared across the supply chain,Owned by the Model Provider (MP),Shared Model Provider-Orchestrated Service Provider (Shared MP-OSP),Owned by the Application Provider (AP),FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,"Data collection, Data storage, Resource provisioning",Training,Validation/Red Teaming,"Orchestration, AI Services supply chain, AI applications",Continuous monitoring,Data deletion,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
Threat & Vulnerability Management,Threat and Vulnerability Management Policy and Procedures,TVM-01,"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures to identify, report and prioritize the remediation of
vulnerabilities, in order to protect systems against vulnerability exploitation.
Review and update the policies and procedures at least annually.
",Cloud & AI Related,Shared across the supply chain,Owned by the Model Provider (MP),Shared Model Provider-Orchestrated Service Provider (Shared MP-OSP),Owned by the Application Provider (AP),FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,"Data storage, Resource provisioning",Training,"Validation/Red Teaming, Re-evaluation","Orchestration, AI Services supply chain, AI applications","Operations, Maintenance, Continuous monitoring, Continuous improvement",Data deletion,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Threat & Vulnerability Management,Malware Protection Policy and Procedures,TVM-02,"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures to protect against malware on managed assets. Review
and update the policies and procedures at least annually.
",Cloud & AI Related,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Owned by the Model Provider (MP),Shared Model Provider-Orchestrated Service Provider (Shared MP-OSP),Shared Application Provider-AI Customer (Shared AP-AIC),FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"Data storage, Resource provisioning",Training,Re-evaluation,"Orchestration, AI Services supply chain, AI applications","Operations, Maintenance, Continuous monitoring, Continuous improvement","Archiving, Data deletion, Model disposal",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
Threat & Vulnerability Management,Vulnerability Remediation Schedule,TVM-03,"Define, implement and evaluate processes, procedures and technical
measures to enable both scheduled and emergency responses to vulnerability identifications,
based on the identified risk.
",Cloud & AI Related,Shared across the supply chain,Owned by the Model Provider (MP),Shared Orchestrated Service Provider-Application Provider (Shared OSP-AP),Shared Application Provider-AI Customer (Shared AP-AIC),FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"Data storage, Resource provisioning",Training,"Evaluation, Validation/Red Teaming, Re-evaluation","Orchestration, AI Services supply chain, AI applications","Operations, Maintenance, Continuous monitoring, Continuous improvement","Data deletion, Model disposal",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
