SORT-AS,Control Identifier,Control (or Control Enhancement) Name,Withdrawn,Privacy Baseline,Security Control Baseline - Low,Security Control Baseline - Moderate,Security Control Baseline - High
SC-21-00,SC-21,Secure Name/address Resolution Service (recursive or Caching Resolver),,,x,x,x
SC-21-01,SC-21(1),Secure Name/address Resolution Service (recursive or Caching Resolver) | Data Origin and Integrity,W: Incorporated into SC-21.,,,,
SC-22-00,SC-22,Architecture and Provisioning for Name/address Resolution Service,,,x,x,x
SC-23-00,SC-23,Session Authenticity,,,,x,x
SC-23-01,SC-23(1),Session Authenticity | Invalidate Session Identifiers at Logout,,,,,
SC-23-02,SC-23(2),Session Authenticity | User-initiated Logouts and Message Displays,W: Incorporated into AC-12(1).,,,,
SC-23-03,SC-23(3),Session Authenticity | Unique System-generated Session Identifiers,,,,,
SC-23-04,SC-23(4),Session Authenticity | Unique Session Identifiers with Randomization,W: Incorporated into SC-23(3).,,,,
SC-23-05,SC-23(5),Session Authenticity | Allowed Certificate Authorities,,,,,
SC-24-00,SC-24,Fail in Known State,,,,,x
SC-25-00,SC-25,Thin Nodes,,,,,
SC-26-00,SC-26,Decoys,,,,,
SC-26-01,SC-26(1),Decoys | Detection of Malicious Code,W: Incorporated into SC-35.,,,,
SC-27-00,SC-27,Platform-independent Applications,,,,,
SC-28-00,SC-28,Protection of Information at Rest,,,,x,x
SC-28-01,SC-28(1),Protection of Information at Rest | Cryptographic Protection,,,,x,x
SC-28-02,SC-28(2),Protection of Information at Rest | Offline Storage,,,,,
SC-28-03,SC-28(3),Protection of Information at Rest | Cryptographic Keys,,,,,
SC-29-00,SC-29,Heterogeneity,,,,,
SC-29-01,SC-29(1),Heterogeneity | Virtualization Techniques,,,,,
SC-30-00,SC-30,Concealment and Misdirection,,,,,
SC-30-01,SC-30(1),Concealment and Misdirection | Virtualization Techniques,W: Incorporated into SC-29(1).,,,,
SC-30-02,SC-30(2),Concealment and Misdirection | Randomness,,,,,
SC-30-03,SC-30(3),Concealment and Misdirection | Change Processing and Storage Locations,,,,,
SC-30-04,SC-30(4),Concealment and Misdirection | Misleading Information,,,,,
SC-30-05,SC-30(5),Concealment and Misdirection | Concealment of System Components,,,,,
SC-31-00,SC-31,Covert Channel Analysis,,,,,
SC-31-01,SC-31(1),Covert Channel Analysis | Test Covert Channels for Exploitability,,,,,
SC-31-02,SC-31(2),Covert Channel Analysis | Maximum Bandwidth,,,,,
SC-31-03,SC-31(3),Covert Channel Analysis | Measure Bandwidth in Operational Environments,,,,,
SC-32-00,SC-32,System Partitioning,,,,,
SC-32-01,SC-32(1),System Partitioning | Separate Physical Domains for Privileged Functions,,,,,
SC-33-00,SC-33,Transmission Preparation Integrity,W: Incorporated into SC-8.,,,,
SC-34-00,SC-34,Non-modifiable Executable Programs,,,,,
SC-34-01,SC-34(1),Non-modifiable Executable Programs | No Writable Storage,,,,,
SC-34-02,SC-34(2),Non-modifiable Executable Programs | Integrity Protection on Read-only Media,,,,,
SC-34-03,SC-34(3),Non-modifiable Executable Programs | Hardware-based Protection,W: Moved to SC-51.,,,,
SC-35-00,SC-35,External Malicious Code Identification,,,,,
SC-36-00,SC-36,Distributed Processing and Storage,,,,,
SC-36-01,SC-36(1),Distributed Processing and Storage | Polling Techniques,,,,,
SC-36-02,SC-36(2),Distributed Processing and Storage | Synchronization,,,,,
SC-37-00,SC-37,Out-of-band Channels,,,,,
SC-37-01,SC-37(1),Out-of-band Channels | Ensure Delivery and Transmission,,,,,
SC-38-00,SC-38,Operations Security,,,,,
SC-39-00,SC-39,Process Isolation,,,x,x,x
SC-39-01,SC-39(1),Process Isolation | Hardware Separation,,,,,
SC-39-02,SC-39(2),Process Isolation | Separate Execution Domain Per Thread,,,,,
SC-40-00,SC-40,Wireless Link Protection,,,,,
SC-40-01,SC-40(1),Wireless Link Protection | Electromagnetic Interference,,,,,
SC-40-02,SC-40(2),Wireless Link Protection | Reduce Detection Potential,,,,,
SC-40-03,SC-40(3),Wireless Link Protection | Imitative or Manipulative Communications Deception,,,,,
SC-40-04,SC-40(4),Wireless Link Protection | Signal Parameter Identification,,,,,
SC-41-00,SC-41,Port and I/O Device Access,,,,,
SC-42-00,SC-42,Sensor Capability and Data,,,,,
SC-42-01,SC-42(1),Sensor Capability and Data | Reporting to Authorized Individuals or Roles,,,,,
SC-42-02,SC-42(2),Sensor Capability and Data | Authorized Use,,,,,
SC-42-03,SC-42(3),Sensor Capability and Data | Prohibit Use of Devices,W: Incorporated into SC-42.,,,,
SC-42-04,SC-42(4),Sensor Capability and Data | Notice of Collection,,,,,
SC-42-05,SC-42(5),Sensor Capability and Data | Collection Minimization,,,,,
SC-43-00,SC-43,Usage Restrictions,,,,,
SC-44-00,SC-44,Detonation Chambers,,,,,
SC-45-00,SC-45,System Time Synchronization,,,,,
SC-45-01,SC-45(1),System Time Synchronization | Synchronization with Authoritative Time Source,,,,,
SC-45-02,SC-45(2),System Time Synchronization | Secondary Authoritative Time Source,,,,,
SC-46-00,SC-46,Cross Domain Policy Enforcement,,,,,
SC-47-00,SC-47,Alternate Communications Paths,,,,,
SC-48-00,SC-48,Sensor Relocation,,,,,
SC-48-01,SC-48(1),Sensor Relocation | Dynamic Relocation of Sensors or Monitoring Capabilities,,,,,
SC-49-00,SC-49,Hardware-enforced Separation and Policy Enforcement,,,,,
SC-50-00,SC-50,Software-enforced Separation and Policy Enforcement,,,,,
SC-51-00,SC-51,Hardware-based Protection,,,,,
SI-01-00,SI-1,Policy and Procedures,,x,x,x,x
SI-02-00,SI-2,Flaw Remediation,,,x,x,x
SI-02-01,SI-2(1),Flaw Remediation | Central Management,W: Incorporated into PL-9.,,,,
SI-02-02,SI-2(2),Flaw Remediation | Automated Flaw Remediation Status,,,,x,x
SI-02-03,SI-2(3),Flaw Remediation | Time to Remediate Flaws and Benchmarks for Corrective Actions,,,,,
SI-02-04,SI-2(4),Flaw Remediation | Automated Patch Management Tools,,,,,
SI-02-05,SI-2(5),Flaw Remediation | Automatic Software and Firmware Updates,,,,,
SI-02-06,SI-2(6),Flaw Remediation | Removal of Previous Versions of Software and Firmware,,,,,
SI-03-00,SI-3,Malicious Code Protection,,,x,x,x
SI-03-01,SI-3(1),Malicious Code Protection | Central Management,W: Incorporated into PL-9.,,,,
SI-03-02,SI-3(2),Malicious Code Protection | Automatic Updates,W: Incorporated into SI-3.,,,,
SI-03-03,SI-3(3),Malicious Code Protection | Non-privileged Users,W: Incorporated into AC-6(10).,,,,
SI-03-04,SI-3(4),Malicious Code Protection | Updates Only by Privileged Users,,,,,
SI-03-05,SI-3(5),Malicious Code Protection | Portable Storage Devices,W: Incorporated into MP-7.,,,,
SI-03-06,SI-3(6),Malicious Code Protection | Testing and Verification,,,,,
SI-03-07,SI-3(7),Malicious Code Protection | Nonsignature-based Detection,W: Incorporated into SI-3.,,,,
SI-03-08,SI-3(8),Malicious Code Protection | Detect Unauthorized Commands,,,,,
SI-03-09,SI-3(9),Malicious Code Protection | Authenticate Remote Commands,W: Moved to AC-17(10).,,,,
SI-03-10,SI-3(10),Malicious Code Protection | Malicious Code Analysis,,,,,
SI-04-00,SI-4,System Monitoring,,,x,x,x
SI-04-01,SI-4(1),System Monitoring | System-wide Intrusion Detection System,,,,,
SI-04-02,SI-4(2),System Monitoring | Automated Tools and Mechanisms for Real-time Analysis,,,,x,x
SI-04-03,SI-4(3),System Monitoring | Automated Tool and Mechanism Integration,,,,,
SI-04-04,SI-4(4),System Monitoring | Inbound and Outbound Communications Traffic,,,,x,x
SI-04-05,SI-4(5),System Monitoring | System-generated Alerts,,,,x,x
SI-04-06,SI-4(6),System Monitoring | Restrict Non-privileged Users,W: Incorporated into AC-6(10).,,,,
SI-04-07,SI-4(7),System Monitoring | Automated Response to Suspicious Events,,,,,
SI-04-08,SI-4(8),System Monitoring | Protection of Monitoring Information,W: Incorporated into SI-4.,,,,
SI-04-09,SI-4(9),System Monitoring | Testing of Monitoring Tools and Mechanisms,,,,,
SI-04-10,SI-4(10),System Monitoring | Visibility of Encrypted Communications,,,,,x
SI-04-11,SI-4(11),System Monitoring | Analyze Communications Traffic Anomalies,,,,,
SI-04-12,SI-4(12),System Monitoring | Automated Organization-generated Alerts,,,,,x
SI-04-13,SI-4(13),System Monitoring | Analyze Traffic and Event Patterns,,,,,
SI-04-14,SI-4(14),System Monitoring | Wireless Intrusion Detection,,,,,x
SI-04-15,SI-4(15),System Monitoring | Wireless to Wireline Communications,,,,,
SI-04-16,SI-4(16),System Monitoring | Correlate Monitoring Information,,,,,
SI-04-17,SI-4(17),System Monitoring | Integrated Situational Awareness,,,,,
SI-04-18,SI-4(18),System Monitoring | Analyze Traffic and Covert Exfiltration,,,,,
SI-04-19,SI-4(19),System Monitoring | Risk for Individuals,,,,,
SI-04-20,SI-4(20),System Monitoring | Privileged Users,,,,,x
SI-04-21,SI-4(21),System Monitoring | Probationary Periods,,,,,
SI-04-22,SI-4(22),System Monitoring | Unauthorized Network Services,,,,,x
SI-04-23,SI-4(23),System Monitoring | Host-based Devices,,,,,
SI-04-24,SI-4(24),System Monitoring | Indicators of Compromise,,,,,
SI-04-25,SI-4(25),System Monitoring | Optimize Network Traffic Analysis,,,,,
SI-05-00,SI-5,"Security Alerts, Advisories, and Directives",,,x,x,x
SI-05-01,SI-5(1),"Security Alerts, Advisories, and Directives | Automated Alerts and Advisories",,,,,x
SI-06-00,SI-6,Security and Privacy Function Verification,,,,,x
SI-06-01,SI-6(1),Security and Privacy Function Verification | Notification of Failed Security Tests,W: Incorporated into SI-6.,,,,
SI-06-02,SI-6(2),Security and Privacy Function Verification | Automation Support for Distributed Testing,,,,,
SI-06-03,SI-6(3),Security and Privacy Function Verification | Report Verification Results,,,,,
SI-07-00,SI-7,"Software, Firmware, and Information Integrity",,,,x,x
SI-07-01,SI-7(1),"Software, Firmware, and Information Integrity | Integrity Checks",,,,x,x
SI-07-02,SI-7(2),"Software, Firmware, and Information Integrity | Automated Notifications of Integrity Violations",,,,,x
SI-07-03,SI-7(3),"Software, Firmware, and Information Integrity | Centrally Managed Integrity Tools",,,,,
SI-07-04,SI-7(4),"Software, Firmware, and Information Integrity | Tamper-evident Packaging",W: Incorporated into SR-9.,,,,
SI-07-05,SI-7(5),"Software, Firmware, and Information Integrity | Automated Response to Integrity Violations",,,,,x
SI-07-06,SI-7(6),"Software, Firmware, and Information Integrity | Cryptographic Protection",,,,,
SI-07-07,SI-7(7),"Software, Firmware, and Information Integrity | Integration of Detection and Response",,,,x,x
SI-07-08,SI-7(8),"Software, Firmware, and Information Integrity | Auditing Capability for Significant Events",,,,,
SI-07-09,SI-7(9),"Software, Firmware, and Information Integrity | Verify Boot Process",,,,,
SI-07-10,SI-7(10),"Software, Firmware, and Information Integrity | Protection of Boot Firmware",,,,,
SI-07-11,SI-7(11),"Software, Firmware, and Information Integrity | Confined Environments with Limited Privileges",W: Moved to CM-7(6).,,,,
SI-07-12,SI-7(12),"Software, Firmware, and Information Integrity | Integrity Verification",,,,,
SI-07-13,SI-7(13),"Software, Firmware, and Information Integrity | Code Execution in Protected Environments",W: Moved to CM-7(7).,,,,
SI-07-14,SI-7(14),"Software, Firmware, and Information Integrity | Binary or Machine Executable Code",W: Moved to CM-7(8).,,,,
SI-07-15,SI-7(15),"Software, Firmware, and Information Integrity | Code Authentication",,,,,x
SI-07-16,SI-7(16),"Software, Firmware, and Information Integrity | Time Limit on Process Execution Without Supervision",,,,,
SI-07-17,SI-7(17),"Software, Firmware, and Information Integrity | Runtime Application Self-protection",,,,,
SI-08-00,SI-8,Spam Protection,,,,x,x
SI-08-01,SI-8(1),Spam Protection | Central Management,W: Incorporated into PL-9.,,,,
SI-08-02,SI-8(2),Spam Protection | Automatic Updates,,,,x,x
SI-08-03,SI-8(3),Spam Protection | Continuous Learning Capability,,,,,
SI-09-00,SI-9,Information Input Restrictions,"W: Incorporated into AC-2, AC-3, AC5, and AC-6.",,,,
SI-10-00,SI-10,Information Input Validation,,,,x,x
SI-10-01,SI-10(1),Information Input Validation | Manual Override Capability,,,,,
SI-10-02,SI-10(2),Information Input Validation | Review and Resolve Errors,,,,,
SI-10-03,SI-10(3),Information Input Validation | Predictable Behavior,,,,,
SI-10-04,SI-10(4),Information Input Validation | Timing Interactions,,,,,
SI-10-05,SI-10(5),Information Input Validation | Restrict Inputs to Trusted Sources and Approved Formats,,,,,
SI-10-06,SI-10(6),Information Input Validation | Injection Prevention,,,,,
SI-11-00,SI-11,Error Handling,,,,x,x
SI-12-00,SI-12,Information Management and Retention,,x ,x,x,x
SI-12-01,SI-12(1),Information Management and Retention | Limit Personally Identifiable Information Elements,,x ,,,
SI-12-02,SI-12(2),"Information Management and Retention | Minimize Personally Identifiable Information in Testing, Training, and Research",,x ,,,
SI-12-03,SI-12(3),Information Management and Retention | Information Disposal,,x ,,,
SI-13-00,SI-13,Predictable Failure Prevention,,,,,
SI-13-01,SI-13(1),Predictable Failure Prevention | Transferring Component Responsibilities,,,,,
SI-13-02,SI-13(2),Predictable Failure Prevention | Time Limit on Process Execution Without Supervision,W: Incorporated into SI-7(16).,,,,
SI-13-03,SI-13(3),Predictable Failure Prevention | Manual Transfer Between Components,,,,,
SI-13-04,SI-13(4),Predictable Failure Prevention | Standby Component Installation and Notification,,,,,
SI-13-05,SI-13(5),Predictable Failure Prevention | Failover Capability,,,,,
SI-14-00,SI-14,Non-persistence,,,,,
SI-14-01,SI-14(1),Non-persistence | Refresh from Trusted Sources,,,,,
SI-14-02,SI-14(2),Non-persistence | Non-persistent Information,,,,,
SI-14-03,SI-14(3),Non-persistence | Non-persistent Connectivity,,,,,
SI-15-00,SI-15,Information Output Filtering,,,,,
SI-16-00,SI-16,Memory Protection,,,,x,x
SI-17-00,SI-17,Fail-safe Procedures,,,,,
SI-18-00,SI-18,Personally Identifiable Information Quality Operations,,x ,,,
SI-18-01,SI-18(1),Personally Identifiable Information Quality Operations | Automation Support,,,,,
SI-18-02,SI-18(2),Personally Identifiable Information Quality Operations | Data Tags,,,,,
SI-18-03,SI-18(3),Personally Identifiable Information Quality Operations | Collection,,,,,
SI-18-04,SI-18(4),Personally Identifiable Information Quality Operations | Individual Requests,,x ,,,
SI-18-05,SI-18(5),Personally Identifiable Information Quality Operations | Notice of Correction or Deletion,,,,,
SI-19-00,SI-19,De-identification,,x ,,,
SI-19-01,SI-19(1),De-identification | Collection,,,,,
SI-19-02,SI-19(2),De-identification | Archiving,,,,,
SI-19-03,SI-19(3),De-identification | Release,,,,,
SI-19-04,SI-19(4),"De-identification | Removal, Masking, Encryption, Hashing, or Replacement of Direct Identifiers",,,,,
SI-19-05,SI-19(5),De-identification | Statistical Disclosure Control,,,,,
SI-19-06,SI-19(6),De-identification | Differential Privacy,,,,,
SI-19-07,SI-19(7),De-identification | Validated Algorithms and Software,,,,,
SI-19-08,SI-19(8),De-identification | Motivated Intruder,,,,,
SI-20-00,SI-20,Tainting,,,,,
SI-21-00,SI-21,Information Refresh,,,,,
SI-22-00,SI-22,Information Diversity,,,,,
SI-23-00,SI-23,Information Fragmentation,,,,,
SR-01-00,SR-1,Policy and Procedures,,,x,x,x
SR-02-00,SR-2,Supply Chain Risk Management Plan,,,x,x,x
SR-02-01,SR-2(1),Supply Chain Risk Management Plan | Establish SCRM Team,,,x,x,x
SR-03-00,SR-3,Supply Chain Controls and Processes,,,x,x,x
SR-03-01,SR-3(1),Supply Chain Controls and Processes | Diverse Supply Base,,,,,
SR-03-02,SR-3(2),Supply Chain Controls and Processes | Limitation of Harm,,,,,
SR-03-03,SR-3(3),Supply Chain Controls and Processes | Sub-tier Flow Down,,,,,
SR-04-00,SR-4,Provenance,,,,,
SR-04-01,SR-4(1),Provenance | Identity,,,,,
SR-04-02,SR-4(2),Provenance | Track and Trace,,,,,
SR-04-03,SR-4(3),Provenance | Validate as Genuine and Not Altered,,,,,
SR-04-04,SR-4(4),Provenance | Supply Chain Integrity — Pedigree,,,,,
SR-05-00,SR-5,"Acquisition Strategies, Tools, and Methods",,,x,x,x
SR-05-01,SR-5(1),"Acquisition Strategies, Tools, and Methods | Adequate Supply",,,,,
SR-05-02,SR-5(2),"Acquisition Strategies, Tools, and Methods | Assessments Prior to Selection, Acceptance, Modification, or Update",,,,,
SR-06-00,SR-6,Supplier Assessments and Reviews,,,,x,x
SR-06-01,SR-6(1),Supplier Assessments and Reviews | Testing and Analysis,,,,,
SR-07-00,SR-7,Supply Chain Operations Security,,,,,
SR-08-00,SR-8,Notification Agreements,,,x,x,x
SR-09-00,SR-9,Tamper Resistance and Detection,,,,,x
SR-09-01,SR-9(1),Tamper Resistance and Detection | Multiple Stages of System Development Life Cycle,,,,,x
SR-10-00,SR-10,Inspection of Systems or Components,,,x,x,x
SR-11-00,SR-11,Component Authenticity,,,x,x,x
SR-11-01,SR-11(1),Component Authenticity | Anti-counterfeit Training,,,x,x,x
SR-11-02,SR-11(2),Component Authenticity | Configuration Control for Component Service and Repair,,,x,x,x
SR-11-03,SR-11(3),Component Authenticity | Anti-counterfeit Scanning,,,,,
SR-12-00,SR-12,Component Disposal,,,x,x,x
